ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11757973,JC349137,07/14/2019 11:58:00 PM,079XX S MERRILL AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,0414,004,8,46,08B,1191909,1852846,2019,07/21/2019 04:11:41 PM,41.751198244,-87.572315031,"(41.751198244, -87.572315031)",9,21202,42,507,35,25,19,222
11758047,JC349133,07/14/2019 11:50:00 PM,015XX S PRAIRIE AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,0132,001,3,33,03,1178342,1892972,2019,07/21/2019 04:11:41 PM,41.861626094,-87.620811841,"(41.861626094, -87.620811841)",48,14913,34,374,9,35,22,148
11758769,JC350158,07/14/2019 11:45:00 PM,024XX W BELLE PLAINE AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,false,false,1911,019,47,5,26,1159338,1927155,2019,07/21/2019 04:11:41 PM,41.955838545,-87.689630339,"(41.955838545, -87.689630339)",13,21538,46,624,18,39,5,10
11758897,JC350253,07/14/2019 11:45:00 PM,004XX W DIVISION ST,0460,BATTERY,SIMPLE,GROCERY FOOD STORE,false,false,1821,018,27,8,08B,1173175,1908290,2019,07/21/2019 04:11:41 PM,41.903775756,-87.639324074,"(41.903775756, -87.639324074)",41,14926,37,148,46,54,14,51
11758068,JC349171,07/14/2019 11:45:00 PM,012XX W 82ND ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,0613,006,21,71,03,1169286,1850402,2019,07/21/2019 04:11:41 PM,41.745010773,-87.655287307,"(41.745010773, -87.655287307)",18,21554,70,575,13,59,20,233
11757928,JC349126,07/14/2019 11:45:00 PM,001XX E GARFIELD BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,BARBERSHOP,false,false,0231,002,3,40,14,1178244,1868584,2019,07/21/2019 04:11:41 PM,41.794705738,-87.621912922,"(41.794705738, -87.621912922)",12,22260,7,401,9,10,24,125
11757997,JC349110,07/14/2019 11:38:00 PM,056XX N CUMBERLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,BAR OR TAVERN,false,true,1614,016,41,76,08B,1119313,1936274,2019,07/21/2019 04:11:41 PM,41.981592874,-87.836579907,"(41.981592874, -87.836579907)",34,4448,36,64,29,17,12,44
11757897,JC349105,07/14/2019 11:30:00 PM,130XX S ELLIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,false,true,0533,005,9,54,08B,1185302,1818824,2019,07/21/2019 04:11:41 PM,41.65799551,-87.59759122,"(41.65799551, -87.59759122)",30,4460,51,9,43,47,10,221
11758946,JC350386,07/14/2019 11:30:00 PM,050XX W FULTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1532,015,28,25,08B,1142825,1901475,2019,07/21/2019 04:11:41 PM,41.885694266,-87.750977537,"(41.885694266, -87.750977537)",11,22216,26,696,23,32,25,81
11758353,JC349339,07/14/2019 11:30:00 PM,055XX W CRYSTAL ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,2532,025,37,25,03,1139019,1907778,2019,07/21/2019 04:11:41 PM,41.903060503,-87.764800766,"(41.903060503, -87.764800766)",4,4299,26,599,45,5,6,145
